id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
868232155038122426,Cozy and spacious house,45310052,Lena,Outer Richmond,37.77894560,-122.48446970,entire home/apt,0.00,30,0,,,1,0,,0
899454758833419641,Cozy/Private Centrally Located SOMA 1br,304721494,HostWell,South of Market,37.77510482,-122.41398138,entire home/apt,0.00,30,2,2024-08-06,0.15,22,0,,1
14180539,Spacious Private Bedroom & Skylight,547669,Jamie,Outer Sunset,37.75706000,-122.49812000,private room,0.00,30,3,2019-08-31,0.03,4,0,,0
8041262,Super Castro location w/ stunning City views!,40413092,Eric,Castro/Upper Market,37.75971222,-122.43193817,entire home/apt,0.00,4,18,2023-08-05,0.18,1,0,STR-0003215,0
8800012,SF Union Square: 2 studios in upscale Hotel!,22267033,Jennifer,Downtown/Civic Center,37.78662000,-122.40961000,entire home/apt,0.00,2,18,2021-11-03,0.17,19,361,License not needed per OSTR,0
329020,The Clock Tower Loft circa 1907.,326840,Jorge,South of Market,37.78377000,-122.39275000,entire home/apt,0.00,30,5,2016-09-30,0.03,1,0,,0
6494231,Exquisite Family Enclave,7474254,Monica,Bernal Heights,37.73672000,-122.42238000,entire home/apt,0.00,2,6,2022-07-24,0.14,1,351,2022-004768STR,0
9844630,Large room w. pvt balcony & ensuite,1902653,Justin,Noe Valley,37.75285000,-122.43523000,private room,0.00,30,1,2016-03-17,0.01,1,0,,0
15769037,Dorm Room with Private Bathroom,100390518,Herbert,Downtown/Civic Center,37.78683000,-122.40726000,private room,0.00,1,5,2019-08-26,0.05,18,0,License not needed per OSTR,0
715543,Marie's sunny spacious Mission loft,3676663,Catherine Marie,Mission,37.76196000,-122.41361000,entire home/apt,0.00,30,3,2014-03-23,0.02,2,0,,0
17807709,Historic Pac Heights  - month to month rental,67232897,John,Pacific Heights,37.79720000,-122.42564000,entire home/apt,0.00,60,0,,,2,0,,0
43131853,Newly remodeled condo heart of SOMA San Francisco,5569348,Sako,South of Market,37.78306000,-122.39982000,entire home/apt,0.00,180,0,,,1,0,,0
29135958,Private two bedroom 20 minutes from downtown,7443050,Christina,Outer Mission,37.72996000,-122.45035000,private room,0.00,31,0,,,1,0,,0
40142075,Hotel Style Studio -Included Continental Breakfast,115809271,Sarah,Western Addition,37.77757000,-122.42329000,entire home/apt,0.00,2,0,,,3,0,License not needed per OSTR,0
36854594,Suites at Fisherman's Wharf,52178915,Jim,Russian Hill,37.80550000,-122.42058000,entire home/apt,0.00,2,13,2024-02-15,0.22,50,0,License not needed per OSTR,1
24163232,Room with private deck on Balmy Alley,7426517,John,Mission,37.75264000,-122.41135000,private room,0.00,1,3,2020-02-29,0.04,3,0,STR-0003018,0
19163190,Charming retreat in quaint SF neighborhood,134008463,Diane,Bernal Heights,37.73445000,-122.41832000,entire home/apt,0.00,3,6,2023-09-06,0.09,1,2,STR-0003454,1
36524618,Cozy Vintage Mission Studio w/ Character,4430421,Landmark,Mission,37.76569000,-122.41876000,entire home/apt,0.00,30,1,2019-10-23,0.02,140,117,,0
43475468,Beautiful Mission District Home and Backyard,65136730,Ryan,Mission,37.75721000,-122.41245000,entire home/apt,0.00,30,0,,,1,0,,0
43485535,Cozy bedroom right next to Market Street,346671348,Jules,Downtown/Civic Center,37.78290000,-122.41032000,private room,0.00,30,0,,,4,0,,0
20818261,SF Union Square Hotel Studio (3),22267033,Jennifer,Downtown/Civic Center,37.78904000,-122.41013000,entire home/apt,0.00,2,11,2019-09-17,0.14,19,361,License not needed per OSTR,0
21024486,Huge Sunny Bedroom in Prime Location,8801754,Erin,Western Addition,37.78716000,-122.44261000,private room,0.00,30,3,2020-02-10,0.05,1,0,,0
21066691,"Elegant Top Floor Flat Near UCSF, GG Park",151803493,Joseph,Outer Sunset,37.76016000,-122.48451000,entire home/apt,0.00,30,0,,,1,0,,0
735694099712910732,Hotel room in Fisherman's Wharf for JPM 2023 (1),483230129,Edward,North Beach,37.80546860,-122.41683650,private room,0.00,1,1,2023-01-11,0.05,1,0,Exempt,0
54187345,Inn at the Opera<>,52178915,Jim,Western Addition,37.77818000,-122.42334000,entire home/apt,0.00,3,36,2024-05-30,1.12,50,0,Exempt,3
