"overall_parent_ngb","overall_year","financial_year","membership_bucket_def","revenue_bucket_def","staff_bucket_def","ceo_salary","membership_bucket","membership_size","revenue_bucket","staff_bucket","staff_size","total_expenses","total_revenue"
"USA Wrestling",2018,"Sept 1 - Aug 31","> 100,000","$10M-$20M","30-100",341605,1,230000,2,2,55,13856913,13856913
"American Canoe Association",2018,"Jan 1 - Dec 31","30,000-100,000","< $2M","10-30",0,2,39000,4,3,0,2215373,2215373
"USA Taekwondo",2018,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",124016,3,16869,3,3,11,3513812,3513812
"US Association of Blind Athletes",2019,"Jan 1 - Dec 31","< 10,000","< $2M","n/a",0,4,8009,4,0,0,1302421,1302421
"USA Field Hockey",2018,"Jan 1 - Dec 31","30,000-100,000","$2M-$10M","30-100",201867,2,28856,3,2,31,9745818,9745818
"USA Triathlon",2019,"Jan 1 - Dec 31","> 100,000","$10M-$20M","30-100",469265,1,400000,2,2,92,18171846,18171846
"USA Softball",2019,"Jan 1 - Dec 31","> 100,000","$10M-$20M","> 100",162961,1,1500000,2,1,155,12969635,12969635
"US Luge Association",2019,"Aug 1 - July 31","< 10,000","$2M-$10M","10-30",130412,4,722,3,3,24,3681600,3681600
"USA Weightlifting",2018,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",140657,3,27000,3,3,18,6334150,6334150
"USA Judo",2019,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","< 10",114039,3,10300,3,4,9,2060330,2060330
